  Time           ens2       
HH:MM:SS   KB/s in  KB/s out
21:48:36      4.23      3.84
21:48:37      0.48      0.52
21:48:38      1.64      1.89
21:48:39      0.35      0.39
21:48:40      2.89      2.89
21:48:41      0.86      0.76
21:48:42      6.41      4.16
21:48:43      0.65      0.71
21:48:44      0.66      0.60
21:48:45      0.35      0.32
21:48:46      0.78      0.63
21:48:47      0.40      0.37
21:48:48      0.72      0.75
21:48:49      0.35      0.32
21:48:50      0.52      0.45
21:48:51      0.83      0.70
21:48:52      0.65      0.73
21:48:53      0.41      0.53
21:48:54      0.42      0.42
21:48:55      0.41      0.42
21:48:56      0.72      0.63
21:48:57      0.80      0.86
  Time           ens2       
HH:MM:SS   KB/s in  KB/s out
21:48:58      0.72      0.75
21:48:59      0.68      0.32
21:49:00      0.42      0.42
21:49:01      0.71      0.59
21:49:02      0.75      0.48
21:49:03      0.87      0.95
21:49:04      0.72      0.75
21:49:05      0.96      0.63
21:49:06      1.39      1.30
21:49:07      0.63      0.63
21:49:08      0.82      0.89
21:49:09      0.62      0.63
21:49:10      0.70      0.74
21:49:11      0.92      0.84
21:49:12      0.93      1.11
21:49:13      0.69      0.79
21:49:14      0.70      0.74
21:49:15      1.08      0.99
21:49:16      1.12      1.06
21:49:17      0.62      0.63
21:49:18      4.99      5.27
21:49:19      1.92      1.80
  Time           ens2       
HH:MM:SS   KB/s in  KB/s out
21:49:20      1.35      1.44
21:49:21      1.47      1.64
21:49:22      1.43      1.46
21:49:23      1.44      1.46
21:49:24      1.55      1.63
21:49:25      1.46      1.56
21:49:26      1.36      1.73
21:49:27      1.40      1.50
21:49:28      2.21      2.22
21:49:29      1.47      1.54
21:49:30      1.65      1.75
21:49:31      1.68      1.40
21:49:32      1.26      1.53
21:49:33      1.80      2.10
21:49:34      1.91      1.66
21:49:35      1.24      1.45
21:49:36      1.98      1.95
21:49:37      1.31      1.47
21:49:38      1.47      1.63
21:49:39      1.39      1.56
21:49:40      1.54      1.69
21:49:41      1.78      2.10
  Time           ens2       
HH:MM:SS   KB/s in  KB/s out
21:49:42      1.48      1.61
21:49:43      1.27      1.50
21:49:44      1.52      1.69
21:49:45      1.39      1.59
21:49:46      1.69      1.63
21:49:47      1.78      1.93
21:49:48      1.47      1.70
21:49:49      1.18      1.25
21:49:50      1.82      1.88
21:49:51      1.56      1.59
21:49:52      1.63      1.74
21:49:53      1.68      1.84
21:49:54      1.47      1.47
21:49:55      1.46      1.38
21:49:56      1.73      1.88
21:49:57      1.73      1.65
21:49:58      1.60      1.81
21:49:59      1.47      1.32
21:50:00      2.13      2.00
21:50:01      1.76      1.54
21:50:02      1.40      1.55
21:50:03      2.07      1.94
  Time           ens2       
HH:MM:SS   KB/s in  KB/s out
21:50:04      1.27      1.22
21:50:05      1.38      1.59
21:50:06      2.45      2.39
21:50:07      1.14      1.29
21:50:08      1.44      1.70
21:50:09      1.40      1.48
21:50:10      1.47      1.62
21:50:11      1.78      1.66
21:50:12      1.67      1.59
21:50:13      1.53      1.66
21:50:14      1.24      1.44
21:50:15      1.39      1.56
21:50:16      1.93      1.99
21:50:17      1.18      1.42
21:50:18      1.33      1.66
21:50:19      1.17      1.42
21:50:20      1.76      2.00
21:50:21      1.76      2.06
21:50:22      1.77      1.82
21:50:23      1.49      1.79
21:50:24      1.60      1.86
21:50:25      1.67      1.81
  Time           ens2       
HH:MM:SS   KB/s in  KB/s out
21:50:26      2.60      2.16
21:50:27      1.89      1.80
21:50:28      1.58      1.72
21:50:29      1.81      1.75
21:50:30      1.53      1.90
21:50:31      1.89      2.16
21:50:32      1.82      1.60
21:50:33      1.52      1.88
21:50:34      1.79      2.08
21:50:35      1.47      1.74
21:50:36      1.81      2.06
21:50:37      1.70      1.78
21:50:38      1.60      2.07
21:50:39      1.61      1.76
21:50:40      2.04      2.28
21:50:41      1.96      2.12
21:50:42      1.81      1.92
21:50:43      1.72      2.03
21:50:44      1.64      1.77
21:50:45      1.46      1.75
21:50:46      1.70      1.95
21:50:47      1.79      1.94
  Time           ens2       
HH:MM:SS   KB/s in  KB/s out
21:50:48      1.65      1.82
21:50:49      1.60      1.75
21:50:50      1.63      2.09
21:50:51      1.68      1.99
21:50:52      1.74      1.74
21:50:53      2.01      2.20
21:50:54      1.80      1.75
21:50:55      2.01      1.63
21:50:56      1.98      2.25
21:50:57      1.73      1.84
21:50:58      1.94      2.05
21:50:59      1.55      1.66
21:51:00      1.56      1.68
21:51:01      2.11      2.01
21:51:02      1.54      1.82
21:51:03      1.53      1.71
21:51:04      7.66      9.19
21:51:05      1.31      1.64
21:51:06      1.86      2.06
21:51:07      1.73      1.90
21:51:08      1.32      1.78
21:51:09      1.72      1.88
  Time           ens2       
HH:MM:SS   KB/s in  KB/s out
21:51:10      1.53      1.86
21:51:11      1.90      1.77
21:51:12      1.92      1.89
21:51:13      1.79      1.97
21:51:14      2.02      2.20
21:51:15      1.66      1.62
21:51:16      1.99      2.09
21:51:17      1.34      1.48
21:51:18      1.66      1.98
21:51:19      1.52      1.72
21:51:20      1.61      1.83
21:51:21      1.62      1.88
21:51:22      1.54      1.83
21:51:23      1.66      1.85
21:51:24      2.00      1.97
21:51:25      1.88      2.09
21:51:26      1.79      2.12
21:51:27      2.17      1.86
21:51:28      1.58      1.89
21:51:29      1.66      1.86
21:51:30      2.07      1.97
21:51:31      1.82      1.82
  Time           ens2       
HH:MM:SS   KB/s in  KB/s out
21:51:32      1.74      1.90
21:51:33      1.98      2.49
21:51:34      1.56      1.77
21:51:35      1.22      1.49
21:51:36      1.82      1.99
21:51:37      1.71      2.01
21:51:38      1.35      1.67
21:51:39      1.71      1.88
21:51:40      1.55      1.83
21:51:41      2.04      2.00
21:51:42      1.54      1.73
21:51:43      1.74      1.97
21:51:44      1.60      1.80
21:51:45      1.59      1.78
21:51:46      1.83      2.14
21:51:47      2.09      2.09
21:51:48      1.84      2.15
21:51:49      1.71      1.92
21:51:50      1.30      1.54
21:51:51      1.84      2.18
21:51:52      1.78      2.25
21:51:53      1.74      1.51
  Time           ens2       
HH:MM:SS   KB/s in  KB/s out
21:51:54      1.73      1.98
21:51:55      1.54      1.85
21:51:56      2.02      2.00
21:51:57      1.67      2.05
21:51:58      1.56      1.91
21:51:59      1.87      1.52
21:52:00      1.75      1.89
21:52:01      1.97      2.10
21:52:02      1.75      2.20
21:52:03      1.42      1.63
21:52:04      1.85      2.02
21:52:05      1.46      1.67
21:52:06      2.04      2.21
21:52:07      1.88      1.83
21:52:08      1.74      2.00
21:52:09      2.39      2.22
21:52:10      2.20      2.34
21:52:11      1.76      1.95
21:52:12      1.77      1.91
21:52:13      1.60      1.61
21:52:14      1.60      1.72
21:52:15      1.67      1.68
  Time           ens2       
HH:MM:SS   KB/s in  KB/s out
21:52:16      2.04      2.13
21:52:17      1.80      2.03
21:52:18      1.74      1.72
21:52:19      1.76      1.73
21:52:20      1.32      1.58
21:52:21      1.72      1.92
21:52:22      1.95      1.77
21:52:23      1.60      1.73
21:52:24      1.68      1.99
21:52:25      1.88      1.71
21:52:26      1.83      2.12
21:52:27      1.77      2.02
21:52:28      2.01      1.92
21:52:29      1.67      1.88
21:52:30      2.03      2.10
21:52:31      1.76      2.02
21:52:32      1.74      2.14
21:52:33      1.94      2.04
21:52:34      1.70      2.00
21:52:35      1.53      1.30
21:52:36      1.91      2.21
21:52:37      1.66      1.88
  Time           ens2       
HH:MM:SS   KB/s in  KB/s out
21:52:38      1.45      1.71
21:52:39      1.54      1.80
21:52:40      1.99      1.89
21:52:41      1.58      1.95
21:52:42      1.86      2.12
21:52:43      1.59      1.73
21:52:44      1.55      1.84
21:52:45      1.89      2.11
21:52:46      1.65      1.97
21:52:47      1.89      2.08
21:52:48      1.65      1.72
21:52:49     37.13      3.81
21:52:50      2.04      2.15
21:52:51      1.64      1.52
21:52:52      1.59      1.76
21:52:53      1.60      1.89
21:52:54      1.85      1.75
21:52:55      1.77      2.04
21:52:56      1.75      1.96
21:52:57      1.71      1.80
21:52:58      1.84      2.09
21:52:59      1.83      1.71
  Time           ens2       
HH:MM:SS   KB/s in  KB/s out
21:53:00      1.97      2.00
21:53:01      1.67      2.09
21:53:02      1.81      2.13
21:53:03      1.46      1.66
21:53:04      1.68      2.06
21:53:05      1.97      2.03
21:53:06      1.94      2.21
21:53:07      1.40      1.63
21:53:08      1.67      1.82
21:53:09      1.67      1.88
21:53:10      2.03      2.21
21:53:11      1.60      1.88
21:53:12      1.54      1.92
21:53:13      1.61      1.68
21:53:14      1.61      1.77
21:53:15      1.90      1.75
21:53:16      1.68      1.98
21:53:17      1.76      2.04
21:53:18      1.38      1.60
21:53:19      1.67      1.93
21:53:20      2.09      2.05
21:53:21      1.58      1.79
  Time           ens2       
HH:MM:SS   KB/s in  KB/s out
21:53:22      2.08      2.22
21:53:23      1.99      1.81
21:53:24      1.89      2.22
21:53:25      1.83      1.71
21:53:26      2.14      2.07
21:53:27      2.27      2.19
21:53:28      1.55      1.84
21:53:29      1.46      1.73
21:53:30      1.81      1.78
21:53:31      1.66      1.87
21:53:32      1.37      1.75
21:53:33      1.73      1.78
21:53:34      4.64      5.69
21:53:35      4.31      4.32
21:53:36      1.77      2.17
