procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 UTC
 2  0      0  10962    151   4576    0    0     0     3    8    7  1  0 99  0  0 2025-09-16 21:48:45
 0  0      0  10949    151   4576    0    0     0     4  498  623  4  1 95  0  0 2025-09-16 21:48:46
 0  0      0  10948    151   4576    0    0     0     0  223  262  1  0 100  0  0 2025-09-16 21:48:47
 0  0      0  10948    151   4576    0    0     0    60  146  211  0  0 100  0  0 2025-09-16 21:48:48
 0  0      0  10948    151   4576    0    0     0     0  133  199  0  0 100  0  0 2025-09-16 21:48:49
 0  0      0  10947    151   4576    0    0     0     0  227  282  1  0 99  0  0 2025-09-16 21:48:50
 0  0      0  10947    151   4576    0    0     0     0  202  250  0  0 99  0  0 2025-09-16 21:48:51
 0  0      0  10947    151   4576    0    0     0     0  211  255  2  0 98  0  0 2025-09-16 21:48:52
 0  0      0  10947    151   4576    0    0     0    20  266  465  0  0 100  0  0 2025-09-16 21:48:53
 0  0      0  10947    151   4576    0    0     0     0  127  167  0  0 100  0  0 2025-09-16 21:48:54
 0  0      0  10947    151   4576    0    0     0     0  121  164  0  0 100  0  0 2025-09-16 21:48:55
 0  0      0  10947    151   4576    0    0     0     0  140  185  0  0 100  0  0 2025-09-16 21:48:56
 0  0      0  10947    151   4576    0    0     0     0  153  231  0  0 100  0  0 2025-09-16 21:48:57
 0  0      0  10947    151   4576    0    0     0    16  153  209  0  0 100  0  0 2025-09-16 21:48:58
 0  0      0  10947    151   4576    0    0     0     0  144  188  0  0 100  0  0 2025-09-16 21:48:59
 0  0      0  10947    151   4576    0    0     0     0  149  183  0  0 100  0  0 2025-09-16 21:49:00
 0  0      0  10948    151   4576    0    0     0     0  138  202  0  0 100  0  0 2025-09-16 21:49:01
 0  0      0  10948    151   4576    0    0     0     0  154  209  0  0 100  0  0 2025-09-16 21:49:02
 0  0      0  10948    151   4576    0    0     0    16  153  220  0  0 100  0  0 2025-09-16 21:49:03
 0  0      0  10948    151   4576    0    0     0     0  136  186  0  0 100  0  0 2025-09-16 21:49:04
