Linux 5.4.0-216-generic (cloud3gxie) 	09/22/25 	_x86_64_	(4 CPU)

22:56:45     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
22:56:46     all    2.00    0.00    0.75    0.00    0.00    0.25    0.00    0.00    0.00   97.01
22:56:47     all    3.26    0.00    0.75    0.00    0.00    0.00    0.00    0.00    0.00   95.99
22:56:48     all    1.00    0.00    0.25    0.00    0.00    0.00    0.00    0.00    0.00   98.75
22:56:49     all    0.00    0.00    0.50    0.00    0.00    0.00    0.00    0.00    0.00   99.50
22:56:50     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
22:56:51     all    0.25    0.00    0.50    0.00    0.00    0.00    0.00    0.00    0.00   99.25
22:56:52     all    1.49    0.00    0.75    0.25    0.00    0.00    0.00    0.00    0.00   97.51
22:56:53     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
22:56:54     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
22:56:55     all    0.25    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.75
22:56:56     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
22:56:57     all    0.25    0.00    0.00    0.25    0.00    0.00    0.00    0.00    0.00   99.50
22:56:58     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
22:56:59     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
22:57:00     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
22:57:01     all    0.50    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.50
22:57:02     all    0.25    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.75
22:57:03     all    0.25    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.75
22:57:04     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
22:57:05     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
22:57:06     all   20.91    0.00    5.79    0.00    0.00    0.50    0.00    0.00    0.00   72.80
22:57:07     all   25.25    0.00    1.01    0.25    0.00    0.00    0.00    0.00    0.00   73.48
22:57:08     all   25.62    0.00    0.00    0.00    0.00    0.25    0.00    0.00    0.00   74.13
22:57:09     all   25.38    0.00    0.25    0.00    0.00    0.00    0.00    0.00    0.00   74.37
22:57:10     all   25.19    0.00    0.50    0.00    0.00    0.25    0.00    0.00    0.00   74.06
22:57:11     all   24.87    0.00    0.25    0.00    0.00    0.00    0.00    0.00    0.00   74.87
22:57:12     all   25.44    0.00    0.76    0.00    0.00    0.25    0.00    0.00    0.00   73.55
22:57:13     all   25.06    0.00    0.00    0.00    0.00    0.25    0.00    0.00    0.00   74.69
22:57:14     all   25.25    0.00    0.25    0.00    0.00    0.25    0.00    0.00    0.00   74.25
22:57:15     all   25.06    0.00    0.25    0.00    0.00    0.00    0.00    0.00    0.00   74.69
22:57:16     all   25.38    0.00    0.25    0.00    0.00    0.00    0.00    0.00    0.00   74.37
22:57:17     all   25.19    0.00    1.00    0.25    0.00    0.00    0.00    0.00    0.00   73.57
22:57:18     all   25.31    0.00    0.50    0.25    0.00    0.25    0.00    0.00    0.00   73.68
22:57:19     all   25.44    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   74.56
22:57:20     all   24.56    0.00    0.50    0.00    0.00    0.50    0.00    0.00    0.00   74.44
22:57:21     all   25.69    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   74.31
22:57:22     all   25.38    0.00    0.75    0.00    0.00    0.00    0.00    0.00    0.00   73.87
22:57:23     all   25.50    0.00    0.50    0.00    0.00    0.00    0.00    0.00    0.00   74.00
22:57:24     all   25.31    0.00    0.50    0.00    0.00    0.00    0.00    0.00    0.00   74.19
22:57:25     all   25.12    0.00    0.25    0.00    0.00    0.25    0.00    0.00    0.00   74.38
22:57:26     all   25.19    0.00    0.50    0.00    0.00    0.00    0.00    0.00    0.00   74.31
22:57:27     all   25.31    0.00    0.75    0.00    0.00    0.00    0.00    0.00    0.00   73.93
22:57:28     all   25.25    0.00    0.00    0.25    0.00    0.25    0.00    0.00    0.00   74.24
22:57:29     all   25.19    0.00    0.50    0.00    0.00    0.00    0.00    0.00    0.00   74.31
